item,itemLabel
http://www.wikidata.org/entity/Q97119850,Steingardbreen
http://www.wikidata.org/entity/Q97128460,Huginisen
http://www.wikidata.org/entity/Q97129247,Jotneisen
http://www.wikidata.org/entity/Q97152472,Belgicabreen
http://www.wikidata.org/entity/Q97174311,Q97174311
http://www.wikidata.org/entity/Q97258586,Hrútárjökull
http://www.wikidata.org/entity/Q97259747,Stígárjökull
http://www.wikidata.org/entity/Q98858041,Saginaw Lobe
http://www.wikidata.org/entity/Q101001974,Q101001974
http://www.wikidata.org/entity/Q101244685,Arwa Glacier
http://www.wikidata.org/entity/Q101244705,Bagini Glacier
http://www.wikidata.org/entity/Q101244719,Bhagirathi Kharak Glacier
http://www.wikidata.org/entity/Q101245578,Chaturangi Glacier
http://www.wikidata.org/entity/Q101245577,Changabang Glacier
http://www.wikidata.org/entity/Q101245582,Dokriani Glacier
http://www.wikidata.org/entity/Q101245583,Ghanohim Bamak
http://www.wikidata.org/entity/Q101245580,Dakshini Nanda Devi Glacier
http://www.wikidata.org/entity/Q101245581,Dakshini Rishi Glacier
http://www.wikidata.org/entity/Q101245586,Kirti Bamak
http://www.wikidata.org/entity/Q101245587,Lawan Glacier
http://www.wikidata.org/entity/Q101245584,Jaundhar Glacier
http://www.wikidata.org/entity/Q101245585,Kedar Bamak Glacier
http://www.wikidata.org/entity/Q101245590,Meru Bamak
http://www.wikidata.org/entity/Q101245591,Panpatia Glacier
http://www.wikidata.org/entity/Q101245588,Maiandi Bamak
http://www.wikidata.org/entity/Q101245589,Mana Glacier
http://www.wikidata.org/entity/Q101245595,Raikana Glacier
http://www.wikidata.org/entity/Q101245592,Paschimi Kamet Glacier
http://www.wikidata.org/entity/Q101245593,Purbi Kamet Glacier
http://www.wikidata.org/entity/Q101245598,Seeta Glacier
http://www.wikidata.org/entity/Q101245599,Shalang Glacier
http://www.wikidata.org/entity/Q101245596,Raktavarn Glacier
http://www.wikidata.org/entity/Q101245597,Ramani Glacier
http://www.wikidata.org/entity/Q101245602,Swachhand Glacier
http://www.wikidata.org/entity/Q101245603,Swetvarn Glacier
http://www.wikidata.org/entity/Q101245600,Suralaya Glacier
http://www.wikidata.org/entity/Q101245601,Sunderdhunga Glacier
http://www.wikidata.org/entity/Q101245606,Trisul Glacier
http://www.wikidata.org/entity/Q101245607,Uttari Nanda Devi Glacier
http://www.wikidata.org/entity/Q101245604,Thelu Glacier
http://www.wikidata.org/entity/Q101245605,Tipra Bamak
http://www.wikidata.org/entity/Q101245610,BCB Glacier (bcb land)
http://www.wikidata.org/entity/Q101245611,Beas Kund glacier
http://www.wikidata.org/entity/Q101245608,Uttari Rishi Glacier
http://www.wikidata.org/entity/Q101245609,Vasuki Glacier
http://www.wikidata.org/entity/Q101245614,Chandra Glacier
http://www.wikidata.org/entity/Q101245615,Chandra Nahan Glacier
http://www.wikidata.org/entity/Q101245612,Bhaga Glacier
http://www.wikidata.org/entity/Q101245618,North Dakka Glacier
http://www.wikidata.org/entity/Q101245619,Gora Glacier
http://www.wikidata.org/entity/Q101245616,Dhaka Glacier
http://www.wikidata.org/entity/Q101245622,Mukkila Glacier
http://www.wikidata.org/entity/Q101245623,Parbati and Dudhon
http://www.wikidata.org/entity/Q101245620,The Lady of Keylong
http://www.wikidata.org/entity/Q101245621,Miyar Glacier
http://www.wikidata.org/entity/Q101245626,Sonapani Glacier
http://www.wikidata.org/entity/Q101245627,Gara
http://www.wikidata.org/entity/Q101245625,Perad Glacier
http://www.wikidata.org/entity/Q101245630,Nagpo Tokpo
http://www.wikidata.org/entity/Q101245631,Kangto Glacier
http://www.wikidata.org/entity/Q101245628,Gor Gorang
http://www.wikidata.org/entity/Q101245629,Shaune Gorang
http://www.wikidata.org/entity/Q101245634,Mazgol Glacier
http://www.wikidata.org/entity/Q101245635,Chong Kmdan Glacier
http://www.wikidata.org/entity/Q101245638,Shirwali Glacier
http://www.wikidata.org/entity/Q101245639,Tayseer Glacier
http://www.wikidata.org/entity/Q101245636,Kazi N Glacier
http://www.wikidata.org/entity/Q101245637,Nubra Glacier
http://www.wikidata.org/entity/Q104246100,Vetlebreen
http://www.wikidata.org/entity/Q104772914,Rudolph Glacier
http://www.wikidata.org/entity/Q105637486,Dakshini Nanda Devi Glacier
http://www.wikidata.org/entity/Q105704516,Nanda Devi Glacier
http://www.wikidata.org/entity/Q105827594,Q105827594
http://www.wikidata.org/entity/Q106314807,Romer Glacier
http://www.wikidata.org/entity/Q106520533,Larsen B Ice Shelf
http://www.wikidata.org/entity/Q106608793,Thulagi glacier
http://www.wikidata.org/entity/Q106795676,Gozenzawa Glacier
http://www.wikidata.org/entity/Q106795685,Yamatari Glacier
