item,itemLabel
http://www.wikidata.org/entity/Q63982813,Drift River
http://www.wikidata.org/entity/Q64141608,Baffin Bay
http://www.wikidata.org/entity/Q63985534,Unnamed Glacier (G207395E60779N)
http://www.wikidata.org/entity/Q63982808,Rosenlauigletscher
http://www.wikidata.org/entity/Q63982839,Desolation Glacier
http://www.wikidata.org/entity/Q63982848,Lednik Medvezhiy
http://www.wikidata.org/entity/Q63982843,Spatsizi River
http://www.wikidata.org/entity/Q64141567,Bailey Range
http://www.wikidata.org/entity/Q64141386,Ventisquero Brujo
http://www.wikidata.org/entity/Q64141901,Bravo (Rivera) Glacier
http://www.wikidata.org/entity/Q64141610,Agpat Glacier
http://www.wikidata.org/entity/Q64141380,Amarillo Glacier
http://www.wikidata.org/entity/Q64141898,Benito Glacier
http://www.wikidata.org/entity/Q64141904,Calvo Glacier
http://www.wikidata.org/entity/Q64141900,Glaciar Bernardo
http://www.wikidata.org/entity/Q63977358,Martial Este Glacier
http://www.wikidata.org/entity/Q64141394,Bahia Del Diablo Glacier
http://www.wikidata.org/entity/Q63982870,Daniels Glacier
http://www.wikidata.org/entity/Q63982847,Lauteraar Glacier
http://www.wikidata.org/entity/Q63985535,Unnamed Glacier (G207226E60737N)
http://www.wikidata.org/entity/Q64141402,Alsek River
http://www.wikidata.org/entity/Q64141603,Arrigetch Peaks
http://www.wikidata.org/entity/Q63982864,South Sister
http://www.wikidata.org/entity/Q64141403,Antisana Volcán
http://www.wikidata.org/entity/Q64141924,Barranca del Ventorrillo
http://www.wikidata.org/entity/Q64141929,Carnivore Creek
http://www.wikidata.org/entity/Q64141405,Bakus Glacier
http://www.wikidata.org/entity/Q64141470,Ax010 Glacier
http://www.wikidata.org/entity/Q64141581,Alsek Lake
http://www.wikidata.org/entity/Q64141590,Agassiz Lakes
http://www.wikidata.org/entity/Q64141582,Augustine Island
http://www.wikidata.org/entity/Q64141602,Arrigetch Creek
http://www.wikidata.org/entity/Q64141471,Ama Dablam Glacier
http://www.wikidata.org/entity/Q63982850,Lava Fork
http://www.wikidata.org/entity/Q63982871,Three Forks Park
http://www.wikidata.org/entity/Q63982844,Cascade Iceworn Glacier
http://www.wikidata.org/entity/Q63982840,Kviarjökull
http://www.wikidata.org/entity/Q64140478,Abay Glacier
http://www.wikidata.org/entity/Q63982853,Cedec Glacier
http://www.wikidata.org/entity/Q63982854,Morells Glacier
http://www.wikidata.org/entity/Q63982860,Yulong Glacier
http://www.wikidata.org/entity/Q63982858,Sphinx glacier
http://www.wikidata.org/entity/Q64141387,Cerro Balmaceda
http://www.wikidata.org/entity/Q57836124,Q57836124
http://www.wikidata.org/entity/Q63982866,HPS 19 Glacier
http://www.wikidata.org/entity/Q63871150,Iztaccihuatl Glaciers
http://www.wikidata.org/entity/Q63982826,North Peak
http://www.wikidata.org/entity/Q63982856,Cima di Rosso
http://www.wikidata.org/entity/Q64142920,Chikuminuk Lake
http://www.wikidata.org/entity/Q64143092,Hamaguri Yuki Glacier
http://www.wikidata.org/entity/Q64142774,Cloudy Pass
http://www.wikidata.org/entity/Q64143221,Glacier Lakes
http://www.wikidata.org/entity/Q64142915,Chinitna Bay
http://www.wikidata.org/entity/Q64142988,Ellesmere Island
http://www.wikidata.org/entity/Q64143224,Grand Teton Mountains
http://www.wikidata.org/entity/Q64142866,Finlay River
http://www.wikidata.org/entity/Q64142878,Dakavak Lake
http://www.wikidata.org/entity/Q64142927,Columbus Glacier
http://www.wikidata.org/entity/Q64143088,Hoodoo Mountain
http://www.wikidata.org/entity/Q64142791,Frosty Peak
http://www.wikidata.org/entity/Q64142951,Chickaloon River
http://www.wikidata.org/entity/Q64142902,Cassiar Mountains
http://www.wikidata.org/entity/Q64142778,Edwards Mountain
http://www.wikidata.org/entity/Q64142978,Dietrichson Glacier
http://www.wikidata.org/entity/Q64142761,Furggen Ridge
http://www.wikidata.org/entity/Q64143130,HPS 29 Glacier
http://www.wikidata.org/entity/Q64143133,HPS 34 Glacier
http://www.wikidata.org/entity/Q64142760,Fay Peak
http://www.wikidata.org/entity/Q64142896,Composite Island
http://www.wikidata.org/entity/Q64142870,Frederick Sound
http://www.wikidata.org/entity/Q64143107,Holsteinborg
http://www.wikidata.org/entity/Q64142909,East Fork Skagway River
http://www.wikidata.org/entity/Q64142787,Chapman Peak
http://www.wikidata.org/entity/Q64143231,Grasshopper Glacier West
http://www.wikidata.org/entity/Q64142922,Crescent Lake
http://www.wikidata.org/entity/Q64142973,Egedesminde
http://www.wikidata.org/entity/Q64143110,Great Karajak Glacier
http://www.wikidata.org/entity/Q64142901,Cushing Glacier
http://www.wikidata.org/entity/Q64142884,Dundas Glacier
http://www.wikidata.org/entity/Q64142930,Drift Glacier
http://www.wikidata.org/entity/Q64142767,Columbia Peak
http://www.wikidata.org/entity/Q64142779,Fusillade Mountain
http://www.wikidata.org/entity/Q64142945,Faabergstoelsbreen Glacier
http://www.wikidata.org/entity/Q64143099,Hellstugubreen Glacier
http://www.wikidata.org/entity/Q64143089,Gladys Lake
http://www.wikidata.org/entity/Q64142936,College Fiord
http://www.wikidata.org/entity/Q64143223,Grand Teton Glacier
http://www.wikidata.org/entity/Q64142984,Diebitsch Glacier
http://www.wikidata.org/entity/Q64142965,Færingehavn
http://www.wikidata.org/entity/Q64143096,Heinabergsjökull
http://www.wikidata.org/entity/Q64143129,Guilardi Glacier
http://www.wikidata.org/entity/Q64142981,Dundas / Thule / Umanák
http://www.wikidata.org/entity/Q64142987,Dodge Glacier
http://www.wikidata.org/entity/Q64142977,Freya Glacier
http://www.wikidata.org/entity/Q64143111,Hayes Glacier (Greenland)
http://www.wikidata.org/entity/Q64143122,Greve Glacier
http://www.wikidata.org/entity/Q64143125,HPS 12 Glacier
http://www.wikidata.org/entity/Q64143128,HPS 15 Glacier
http://www.wikidata.org/entity/Q64143098,Hardangerjoekulen Glacier
http://www.wikidata.org/entity/Q64142783,Cracker Mine
http://www.wikidata.org/entity/Q64142940,Ch'akajabena Lake
http://www.wikidata.org/entity/Q64142932,Concordia Glacier
http://www.wikidata.org/entity/Q64143126,HPS 13 Glacier
http://www.wikidata.org/entity/Q64142863,Deltaic Creek
http://www.wikidata.org/entity/Q64142875,Cold Fish Lake
http://www.wikidata.org/entity/Q64143116,Gora Kazbek
http://www.wikidata.org/entity/Q64142974,Christianshaab
http://www.wikidata.org/entity/Q64142979,Døcker Smith Gletscher
http://www.wikidata.org/entity/Q64143117,Grosse Glacier
http://www.wikidata.org/entity/Q64143132,HPS 31 Glacier
http://www.wikidata.org/entity/Q64142968,Falljökull
http://www.wikidata.org/entity/Q64143119,HPN 1 Glacier
http://www.wikidata.org/entity/Q64143120,HPN 2 Glacier
http://www.wikidata.org/entity/Q64143121,HPN 4 Glacier
http://www.wikidata.org/entity/Q64143124,HPS 10 Glacier
http://www.wikidata.org/entity/Q64142953,Donjek River
http://www.wikidata.org/entity/Q64142782,Cataract Mountain
http://www.wikidata.org/entity/Q64142924,Deadman Glacier
http://www.wikidata.org/entity/Q64142890,Favorite Glacier
http://www.wikidata.org/entity/Q64142931,Drift River
http://www.wikidata.org/entity/Q64143227,Grasshopper Glacier East
http://www.wikidata.org/entity/Q64142780,Clements Mountain
http://www.wikidata.org/entity/Q64142789,Chuginadak Island
http://www.wikidata.org/entity/Q64142885,Geikie Inlet
http://www.wikidata.org/entity/Q64142969,Gerstle River
http://www.wikidata.org/entity/Q64142770,Emerald Peak
http://www.wikidata.org/entity/Q64142871,Dawes Glacier
http://www.wikidata.org/entity/Q64142868,Farragut River Glacier
http://www.wikidata.org/entity/Q64142882,Fairweather Range
http://www.wikidata.org/entity/Q64142954,East Fork Chistochina River
http://www.wikidata.org/entity/Q64142956,Denali
http://www.wikidata.org/entity/Q64142872,Endicott Arm
http://www.wikidata.org/entity/Q64142921,Duktoth River
http://www.wikidata.org/entity/Q64142917,Fallen Glacier
http://www.wikidata.org/entity/Q64142943,Eklutna Lake
http://www.wikidata.org/entity/Q64142880,Katmai Glacier
http://www.wikidata.org/entity/Q64142961,Easy Pass
http://www.wikidata.org/entity/Q64142862,Craig River
http://www.wikidata.org/entity/Q64142867,Fredrikson Lake
http://www.wikidata.org/entity/Q64142964,Chief Creek
http://www.wikidata.org/entity/Q64142773,Fortress Mountain
http://www.wikidata.org/entity/Q64143192,HPS 28 Glacier
http://www.wikidata.org/entity/Q64142967,Delta Creek
http://www.wikidata.org/entity/Q64142864,Duti River
http://www.wikidata.org/entity/Q64142777,Doubtful Lake
http://www.wikidata.org/entity/Q64143093,Höllental-Ferner Glacier
http://www.wikidata.org/entity/Q64143113,Hart Glacier (Greenland)
http://www.wikidata.org/entity/Q64142958,Delta River
http://www.wikidata.org/entity/Q64142559,Conejeras Glacier
http://www.wikidata.org/entity/Q64142551,G3 Glacier
http://www.wikidata.org/entity/Q64142549,G4 Glacier
http://www.wikidata.org/entity/Q64141994,Bradley Lake
http://www.wikidata.org/entity/Q64142471,Columbia Bay
http://www.wikidata.org/entity/Q64142135,Blackstone Bay
http://www.wikidata.org/entity/Q64142430,Cascade Mountains
http://www.wikidata.org/entity/Q64142475,Cortina d'Ampezzo
http://www.wikidata.org/entity/Q64142142,Barry Glacier
http://www.wikidata.org/entity/Q64141988,Bear Lake Glacier
http://www.wikidata.org/entity/Q64142153,Black River
http://www.wikidata.org/entity/Q64142032,Carlisle Island
http://www.wikidata.org/entity/Q64142467,Chilkat River
http://www.wikidata.org/entity/Q64142723,Feegletscher
http://www.wikidata.org/entity/Q64142469,Chulitna River
http://www.wikidata.org/entity/Q64142400,Fimbul Ice Shelf
http://www.wikidata.org/entity/Q64142025,Bonanza Peak
http://www.wikidata.org/entity/Q64142466,Cathedral Mountain
http://www.wikidata.org/entity/Q64142468,Chisana River
http://www.wikidata.org/entity/Q64142168,Berlin Glacier
http://www.wikidata.org/entity/Q64142136,Barkley Lake
http://www.wikidata.org/entity/Q64142728,Geltengletscher
http://www.wikidata.org/entity/Q64142744,Finsteraargletscher
http://www.wikidata.org/entity/Q64142012,Campo Sett. Glacier
http://www.wikidata.org/entity/Q64142013,Ghiacciaio di Cima Careser
http://www.wikidata.org/entity/Q64142146,Blabreen Glacier
http://www.wikidata.org/entity/Q64142268,Chico Glacier
http://www.wikidata.org/entity/Q64142258,Echaurren Norte Glacier
http://www.wikidata.org/entity/Q64142138,Busby Island
http://www.wikidata.org/entity/Q64142035,Bell-Irving River Glacier
http://www.wikidata.org/entity/Q64142124,Blue River (British Columbia)
http://www.wikidata.org/entity/Q64142023,Cardinal Peak
http://www.wikidata.org/entity/Q64142120,Battle Lake
http://www.wikidata.org/entity/Q64142763,Chimney Rock
http://www.wikidata.org/entity/Q64142037,Blue River (Alaska)
http://www.wikidata.org/entity/Q64142548,Duwo Glacier
http://www.wikidata.org/entity/Q64142648,Garabashi Glacier
http://www.wikidata.org/entity/Q64142558,Dana Glacier (California)
http://www.wikidata.org/entity/Q64142169,Berlingske Glacier
http://www.wikidata.org/entity/Q64142734,Croslina Glacier
http://www.wikidata.org/entity/Q64142730,Tungelgletscher
http://www.wikidata.org/entity/Q64142151,Boedalsbreen Glacier
http://www.wikidata.org/entity/Q64142036,Blue Lake Glacier
http://www.wikidata.org/entity/Q64142085,Bradfield Glacier
http://www.wikidata.org/entity/Q64142029,Carcajou Lake
http://www.wikidata.org/entity/Q64141999,Becca di Luseney Glacier
http://www.wikidata.org/entity/Q64141990,Calderone Glacier
http://www.wikidata.org/entity/Q64142123,Boundary Glacier (Haines)
http://www.wikidata.org/entity/Q64142156,Cantwell Creek
http://www.wikidata.org/entity/Q64142547,Cerro Popocatépetl
http://www.wikidata.org/entity/Q64142002,Breithorn Glacier
http://www.wikidata.org/entity/Q64142726,Euseigne
http://www.wikidata.org/entity/Q64142326,Cerro Agassiz Sur
http://www.wikidata.org/entity/Q64142676,Dent d' Herens
http://www.wikidata.org/entity/Q64142647,Djankuat Glacier
http://www.wikidata.org/entity/Q64142650,Downs Mountain
http://www.wikidata.org/entity/Q64142263,Dart Glacier
http://www.wikidata.org/entity/Q64142171,Brother Johns Glacier
http://www.wikidata.org/entity/Q64142731,Forni Glacier
http://www.wikidata.org/entity/Q64142750,Fiammes
http://www.wikidata.org/entity/Q64141985,Blanca Peak Glacier
http://www.wikidata.org/entity/Q64142117,Cape Douglas Glacier
http://www.wikidata.org/entity/Q64142132,Cape Yakataga
http://www.wikidata.org/entity/Q64142265,Fiero Glacier
http://www.wikidata.org/entity/Q64142266,Fraenkel Glacier
http://www.wikidata.org/entity/Q64142039,Bowser Lake Glacier
http://www.wikidata.org/entity/Q64142122,Boundary Glacier (British Columbia)
http://www.wikidata.org/entity/Q64142657,Entrèves
http://www.wikidata.org/entity/Q64142374,Europa Glacier
http://www.wikidata.org/entity/Q64142643,Dzhambul Glacier
http://www.wikidata.org/entity/Q64142165,Carlos Glacier
http://www.wikidata.org/entity/Q64142172,Bissels Glacier
http://www.wikidata.org/entity/Q64142739,Croda da Lago
http://www.wikidata.org/entity/Q64142500,Darialis Kheoba
http://www.wikidata.org/entity/Q64142473,Cordillera Vilcabamba
http://www.wikidata.org/entity/Q64141986,Blacktop Peak Glacier
http://www.wikidata.org/entity/Q64141993,Bezengi Glacier
http://www.wikidata.org/entity/Q64142126,Blizhni Point
http://www.wikidata.org/entity/Q64142129,Cape Suckling
http://www.wikidata.org/entity/Q64142260,Frías Glacier (Ventisquero Frías)
http://www.wikidata.org/entity/Q64142653,Cloud Peak
http://www.wikidata.org/entity/Q64142269,De Los Tres Glacier
http://www.wikidata.org/entity/Q64142561,Fryingpan Basin
http://www.wikidata.org/entity/Q64142556,Gibbs Canyon
http://www.wikidata.org/entity/Q64142031,Cameron Lake
http://www.wikidata.org/entity/Q64142655,Glacier de Gebraoulaz
http://www.wikidata.org/entity/Q64141989,Big Agnes Mountain Glacier
http://www.wikidata.org/entity/Q64142141,Barry Arm
http://www.wikidata.org/entity/Q64142160,Broughton Island
http://www.wikidata.org/entity/Q64142166,Bowdoin Glacier
http://www.wikidata.org/entity/Q64142659,Chamonix Mont-Blanc
http://www.wikidata.org/entity/Q64142159,Berry Creek
http://www.wikidata.org/entity/Q64142464,Cataract Creek
http://www.wikidata.org/entity/Q64141992,Bogatyr Glacier
http://www.wikidata.org/entity/Q64142021,Blau-Eis Glacier
http://www.wikidata.org/entity/Q64142642,Fremont Lake
http://www.wikidata.org/entity/Q64142256,Chimborazo
http://www.wikidata.org/entity/Q64142162,Canning River
http://www.wikidata.org/entity/Q64142472,Cordillera Blanca
http://www.wikidata.org/entity/Q64142257,Chacaltaya Glacier
http://www.wikidata.org/entity/Q64143721,Lake Chelan
http://www.wikidata.org/entity/Q64143313,Goldbergkees Glacier
http://www.wikidata.org/entity/Q64143586,Lake Bennet
http://www.wikidata.org/entity/Q64143734,Lake Dorothy
http://www.wikidata.org/entity/Q64143708,Huckleberry Lake
http://www.wikidata.org/entity/Q64143579,Iskut River
http://www.wikidata.org/entity/Q64143745,Johns Hopkins Inlet
http://www.wikidata.org/entity/Q64143735,Kukak Bay
http://www.wikidata.org/entity/Q64143606,Kangaamiut
http://www.wikidata.org/entity/Q64143769,Iliamna Lake
http://www.wikidata.org/entity/Q64143229,Goose Lake
http://www.wikidata.org/entity/Q64143707,Jackson Lake
http://www.wikidata.org/entity/Q64143764,Lake Nerka
http://www.wikidata.org/entity/Q64143750,Kulik Lake
http://www.wikidata.org/entity/Q64143705,Klondike Lake
http://www.wikidata.org/entity/Q64143241,Haystack Butte
http://www.wikidata.org/entity/Q64143283,Hess Mountain
http://www.wikidata.org/entity/Q64143618,Karrat Ø
http://www.wikidata.org/entity/Q64143234,Glacier Peak
http://www.wikidata.org/entity/Q64143728,Longfellow Peak
http://www.wikidata.org/entity/Q64143709,Little Crater Lake
http://www.wikidata.org/entity/Q64143767,Iniskin Bay
http://www.wikidata.org/entity/Q64143528,Lake Palcacocha
http://www.wikidata.org/entity/Q64143274,Glacier Island
http://www.wikidata.org/entity/Q64143278,Heather Island
http://www.wikidata.org/entity/Q64143279,Granite Cove
http://www.wikidata.org/entity/Q64143247,Grindall Island
http://www.wikidata.org/entity/Q64143244,Gyrfalcon Lake
http://www.wikidata.org/entity/Q64143246,Hozomeen Mountain
http://www.wikidata.org/entity/Q64143754,Kamishak Bay
http://www.wikidata.org/entity/Q64143604,Ivigtut Mine
http://www.wikidata.org/entity/Q64143305,Griessfirn Glacier
http://www.wikidata.org/entity/Q64143524,Mellizo Sur Glacier
http://www.wikidata.org/entity/Q64143717,Kautz Creek
http://www.wikidata.org/entity/Q64143697,Lyell Glacier
http://www.wikidata.org/entity/Q64143719,McDonald Peak
http://www.wikidata.org/entity/Q64143239,Gunsight Lake
http://www.wikidata.org/entity/Q64143237,Gunsight Pass
