item,itemLabel,itemDescription,statement_count
http://www.wikidata.org/entity/Q17776325,Gjømmerdalsbreen,"glacier in Tromsø, Troms og Finnmark, Norway",15
http://www.wikidata.org/entity/Q18378053,Scheelebreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q5259605,Denton Glacier,glacier in Antarctica,15
http://www.wikidata.org/entity/Q5354097,Eldorado Glacier,glacier in the United States,15
http://www.wikidata.org/entity/Q19462433,Hübnerbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q7566731,South Cascade Glacier,"glacier in Washington state, United States",15
http://www.wikidata.org/entity/Q5691636,Hearfield Glacier,glacier in Antarctica,15
http://www.wikidata.org/entity/Q21472741,Rudolph Glacier,,15
http://www.wikidata.org/entity/Q32259660,Jeknaffojägna,glacier in Sweden,15
http://www.wikidata.org/entity/Q28064631,Sexebreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28065185,Ludolf Schjelderupbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28066729,Sabinebreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28066739,Maudbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28067532,Bodleybreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28069548,Forsiusbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28070024,Nordre Franklinbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28070176,Lindhagenbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28086702,Pettersenbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q28095265,Reymondbreen,glacier in Svalbard,15
http://www.wikidata.org/entity/Q1323669,Ekström Ice Shelf,ice shelf in Antarctica,15
http://www.wikidata.org/entity/Q1515276,McMurdo Ice Shelf,ice shelf in Antarctica,15
http://www.wikidata.org/entity/Q57539328,Eiskapelle,,15
http://www.wikidata.org/entity/Q3132529,Stuorrajekna,glacier in Sweden,14
http://www.wikidata.org/entity/Q3373187,Bråsvellbreen,"glacier at Nordaustlandet, Svalbard, Norway",14
http://www.wikidata.org/entity/Q3373442,Nathorstbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q3646551,Pico Bonpland,mountain in Venezuela,14
http://www.wikidata.org/entity/Q3761657,Debenham Glacier,glacier in Antarctica,14
