item,itemLabel,linkcount
http://www.wikidata.org/entity/Q1116272,Commonwealth Glacier,11
http://www.wikidata.org/entity/Q2404608,Mackay Glacier,11
http://www.wikidata.org/entity/Q2474320,Kolka Glacier,11
http://www.wikidata.org/entity/Q2494486,Union Glacier,11
http://www.wikidata.org/entity/Q3108266,Academy Glacier,11
http://www.wikidata.org/entity/Q1405353,Sólheimajökull,11
http://www.wikidata.org/entity/Q1632031,Viedma Glacier,11
http://www.wikidata.org/entity/Q2085896,Blåmannsisen,11
http://www.wikidata.org/entity/Q4124356,Storglaciären,11
http://www.wikidata.org/entity/Q4534118,Engil'chek Glacier,11
http://www.wikidata.org/entity/Q7506973,Sibelius Glacier,11
http://www.wikidata.org/entity/Q5242629,Dawson-Lambton Glacier,11
http://www.wikidata.org/entity/Q1815824,Jelbart Ice Shelf,11
http://www.wikidata.org/entity/Q3307729,Drang-Drung Glacier,10
http://www.wikidata.org/entity/Q3358392,Shirase Glacier,10
http://www.wikidata.org/entity/Q3761660,Erebus Glacier,10
http://www.wikidata.org/entity/Q3761668,Priestley Glacier,10
http://www.wikidata.org/entity/Q212613,Miage Glacier,10
http://www.wikidata.org/entity/Q429971,Crowfoot Glacier,10
http://www.wikidata.org/entity/Q546312,Petermann Glacier,10
http://www.wikidata.org/entity/Q674490,Saleina Glacier,10
http://www.wikidata.org/entity/Q676605,Forno Glacier,10
http://www.wikidata.org/entity/Q676703,Tschierva Glacier,10
http://www.wikidata.org/entity/Q676722,Palü Glacier,10
http://www.wikidata.org/entity/Q689730,Stein Glacier,10
http://www.wikidata.org/entity/Q691749,Findel Glacier,10
http://www.wikidata.org/entity/Q691780,Mont Miné Glacier,10
http://www.wikidata.org/entity/Q827877,Hayes Glacier,10
http://www.wikidata.org/entity/Q835637,Boulder Glacier,10
http://www.wikidata.org/entity/Q932333,Quelccaya Ice Cap,10
http://www.wikidata.org/entity/Q1141366,Glacier Noir,10
http://www.wikidata.org/entity/Q1278489,Ebbe Glacier,10
http://www.wikidata.org/entity/Q2607768,Tsaneri Glacier,10
http://www.wikidata.org/entity/Q2725320,Drygalski Ice Tongue,10
http://www.wikidata.org/entity/Q3108261,Aagaard Glacier,10
http://www.wikidata.org/entity/Q3108275,Borchgrevink Glacier,10
http://www.wikidata.org/entity/Q3108290,Drygalski Glacier,10
http://www.wikidata.org/entity/Q3108293,Ellen Glacier,10
http://www.wikidata.org/entity/Q3108296,Erebus Ice Tongue,10
http://www.wikidata.org/entity/Q3108310,Reedy Glacier,10
http://www.wikidata.org/entity/Q1499081,Geitlandsjökull,10
http://www.wikidata.org/entity/Q1518380,Juneau Icefield,10
http://www.wikidata.org/entity/Q1528992,Glacier Blanc,10
http://www.wikidata.org/entity/Q1580310,Rebmann Glacier,10
http://www.wikidata.org/entity/Q1781997,Nigardsbreen,10
http://www.wikidata.org/entity/Q1800386,Nordenskjöld Glacier,10
http://www.wikidata.org/entity/Q1895241,Margerie Glacier,10
http://www.wikidata.org/entity/Q4522752,Edith Ronne Land,10
http://www.wikidata.org/entity/Q4674593,Acosta Glacier,10
http://www.wikidata.org/entity/Q4680350,Adams Glacier,10
http://www.wikidata.org/entity/Q4688346,Aeronaut Glacier,10
http://www.wikidata.org/entity/Q4696933,Aiken Glacier,10
http://www.wikidata.org/entity/Q4699083,Airy Glacier,10
http://www.wikidata.org/entity/Q4712276,Alberts Glacier,10
http://www.wikidata.org/entity/Q6764361,Mariner Glacier,10
http://www.wikidata.org/entity/Q6934316,Mulock Glacier,10
http://www.wikidata.org/entity/Q7127445,Palestrina Glacier,10
http://www.wikidata.org/entity/Q4779729,Aphrodite Glacier,10
http://www.wikidata.org/entity/Q4788888,Arena Glacier,10
http://www.wikidata.org/entity/Q4793588,Armira Glacier,10
http://www.wikidata.org/entity/Q7828430,Totten Glacier,10
http://www.wikidata.org/entity/Q7876005,Khumbu Icefall,10
http://www.wikidata.org/entity/Q7923510,Veststraumen Glacier,10
http://www.wikidata.org/entity/Q5272235,Dibble Glacier,10
http://www.wikidata.org/entity/Q5312305,Dufek Massif,10
http://www.wikidata.org/entity/Q11044432,Slessor Glacier,10
http://www.wikidata.org/entity/Q5415913,Evans Glacier,10
http://www.wikidata.org/entity/Q5458579,Fleming Glacier,10
http://www.wikidata.org/entity/Q15242351,Recovery Glacier,10
http://www.wikidata.org/entity/Q65725817,Okjökull,10
http://www.wikidata.org/entity/Q1323669,Ekström Ice Shelf,10
http://www.wikidata.org/entity/Q1388612,George VI Ice Shelf,10
http://www.wikidata.org/entity/Q7382773,Rutford Ice Stream,10
http://www.wikidata.org/entity/Q7644571,Support Force Glacier,10
http://www.wikidata.org/entity/Q3132529,Stuorrajekna,9
http://www.wikidata.org/entity/Q3539879,Abano Glacier,9
http://www.wikidata.org/entity/Q3646298,Lekhziri Glacier,9
http://www.wikidata.org/entity/Q3651069,Devdaraki,9
http://www.wikidata.org/entity/Q82359,Moiry Glacier,9
http://www.wikidata.org/entity/Q204258,Zinal Glacier,9
http://www.wikidata.org/entity/Q386202,Ried Glacier,9
http://www.wikidata.org/entity/Q402876,Ahrnsbrak Glacier,9
http://www.wikidata.org/entity/Q454095,Rhine Glacier,9
http://www.wikidata.org/entity/Q674782,Mittelaletsch Glacier,9
http://www.wikidata.org/entity/Q691695,Hüfi Glacier,9
http://www.wikidata.org/entity/Q833807,Columbia Glacier,9
http://www.wikidata.org/entity/Q927878,Marmolada Glacier,9
http://www.wikidata.org/entity/Q941237,Johns Hopkins Glacier,9
http://www.wikidata.org/entity/Q983722,Godwin-Austen Glacier,9
http://www.wikidata.org/entity/Q1269176,Dyngjujökull,9
http://www.wikidata.org/entity/Q2303564,Sørsdal Glacier,9
http://www.wikidata.org/entity/Q2459130,Tucker Glacier,9
http://www.wikidata.org/entity/Q2604608,Penny Ice Cap,9
